ID_Poliza,Fecha_Contratacion,Producto,Canal_Venta,Prima_Anual,Monto_Asegurado,Cliente_Edad,Cliente_Sexo,Cliente_Ingreso_Mensual,Siniestro_Reportado,Monto_Siniestro,Estado_Poliza,Región
POL00001,2023-01-20,Vida Plus,Broker,1054.63,156085.24000000002,56,Femenino,2839.72,No,0.0,Activa,Antioquia
POL00002,2024-07-21,Vida Básico,Call Center,995.67,165281.22,25,Masculino,2165.74,No,0.0,Cancelada,Atlántico
POL00003,2024-11-04,Vida Plus,Broker,621.35,120541.90000000001,36,Femenino,3386.45,No,0.0,Activa,Cundinamarca
POL00004,2024-10-20,Vida Premium,Agente,1130.23,163883.35,70,Femenino,5395.06,No,0.0,Activa,Atlántico
POL00005,2023-06-08,Vida Premium,Digital,852.15,24712.35,39,Femenino,3595.8,No,0.0,Activa,Atlántico
POL00006,2023-01-17,Vida Básico,Digital,742.45,96518.5,47,Masculino,2802.95,No,0.0,Activa,Atlántico
POL00007,2022-09-27,Vida Plus,Agente,1361.61,80334.98999999999,38,Femenino,5254.85,No,0.0,Vencida,Valle del Cauca
POL00008,2022-12-09,Vida Básico,Call Center,771.66,81795.95999999999,61,Masculino,3526.67,No,0.0,Activa,Atlántico
POL00009,2024-08-02,Protección Familiar,Digital,850.84,66365.52,59,Masculino,3198.75,No,0.0,Cancelada,Antioquia
POL00010,2022-09-06,Vida Básico,Broker,889.6,168134.4,68,Femenino,3670.96,No,0.0,Activa,Cundinamarca
POL00011,2023-02-08,Vida Plus,Broker,745.37,104351.8,74,Masculino,3646.66,No,0.0,Activa,Atlántico
POL00012,2022-08-22,Vida Premium,Agente,891.05,21385.199999999997,38,Femenino,3147.92,No,0.0,Cancelada,Antioquia
POL00013,2023-08-05,Vida Básico,Call Center,812.49,41436.99,42,Femenino,2779.23,No,0.0,Activa,Antioquia
POL00014,2023-05-26,Vida Plus,Digital,569.67,95704.56,37,Femenino,4435.03,No,0.0,Cancelada,Atlántico
POL00015,2023-03-28,Vida Premium,Agente,898.34,23356.84,61,Femenino,2859.62,No,0.0,Activa,Bogotá
POL00016,2025-03-21,Vida Plus,Call Center,777.28,50523.2,31,Masculino,2068.21,Sí,39386.47,Cancelada,Cundinamarca
POL00017,2022-09-19,Vida Plus,Broker,481.97,10121.37,23,Femenino,3887.6,Sí,5160.37,Cancelada,Cundinamarca
POL00018,2023-08-10,Vida Básico,Digital,1164.53,95491.45999999999,35,Masculino,3762.37,No,0.0,Activa,Valle del Cauca
POL00019,2023-02-23,Vida Plus,Digital,349.03,42232.63,65,Femenino,4395.03,No,0.0,Activa,Cundinamarca
POL00020,2024-12-14,Vida Básico,Digital,1392.53,101654.69,74,Masculino,3816.18,No,0.0,Cancelada,Atlántico
POL00021,2023-11-25,Vida Premium,Agente,635.82,47050.68,41,Masculino,1883.99,No,0.0,Activa,Atlántico
POL00022,2023-01-19,Vida Básico,Agente,784.48,47853.28,62,Femenino,3888.9,No,0.0,Activa,Atlántico
POL00023,2022-11-23,Vida Básico,Call Center,817.41,95636.97,18,Femenino,3447.76,No,0.0,Activa,Cundinamarca
POL00024,2022-11-27,Vida Plus,Agente,1166.32,215769.19999999998,18,Femenino,4198.55,No,0.0,Cancelada,Valle del Cauca
POL00025,2022-11-20,Vida Básico,Agente,1291.1,47770.7,52,Femenino,4071.25,No,0.0,Activa,Santander
POL00026,2024-11-05,Vida Plus,Call Center,807.24,117049.8,59,Masculino,2492.94,Sí,101710.57,Activa,Atlántico
POL00027,2023-05-31,Protección Familiar,Call Center,866.4,113498.4,25,Masculino,2424.4,No,0.0,Activa,Antioquia
POL00028,2025-02-06,Vida Premium,Broker,541.14,90370.38,72,Femenino,2172.4,No,0.0,Activa,Cundinamarca
POL00029,2023-08-23,Vida Plus,Broker,1091.39,130966.80000000002,52,Femenino,1611.01,No,0.0,Vencida,Santander
POL00030,2022-07-15,Vida Premium,Call Center,877.26,62285.46,52,Masculino,2254.6,Sí,45858.56,Cancelada,Cundinamarca
POL00031,2024-10-22,Vida Premium,Agente,1135.26,227052.0,18,Femenino,2379.48,No,0.0,Activa,Bogotá
POL00032,2023-04-11,Protección Familiar,Broker,623.88,63011.88,31,Masculino,7546.76,No,0.0,Activa,Cundinamarca
POL00033,2023-02-09,Protección Familiar,Call Center,610.33,87277.19,32,Masculino,3319.36,No,0.0,Activa,Cundinamarca
POL00034,2023-09-14,Vida Básico,Agente,810.3,64824.0,68,Masculino,3604.46,No,0.0,Activa,Cundinamarca
POL00035,2024-12-30,Vida Plus,Digital,1074.21,191209.38,69,Masculino,5653.14,No,0.0,Activa,Atlántico
POL00036,2023-03-31,Vida Plus,Broker,451.48,84426.76000000001,54,Masculino,2858.7,No,0.0,Vencida,Cundinamarca
POL00037,2025-02-25,Vida Premium,Broker,1147.12,63091.59999999999,60,Masculino,5447.5,No,0.0,Activa,Bogotá
POL00038,2022-10-22,Protección Familiar,Broker,998.63,101860.26,45,Femenino,4598.48,Sí,82843.89,Activa,Antioquia
POL00039,2024-02-09,Vida Plus,Broker,837.09,20927.25,61,Masculino,4655.17,No,0.0,Activa,Bogotá
POL00040,2022-06-22,Vida Plus,Call Center,1101.94,141048.32,72,Masculino,3128.85,No,0.0,Activa,Bogotá
POL00041,2024-01-01,Vida Premium,Agente,506.6,85615.40000000001,50,Femenino,4519.91,No,0.0,Activa,Atlántico
POL00042,2025-04-12,Vida Básico,Broker,978.32,146748.0,74,Masculino,3855.34,No,0.0,Activa,Antioquia
POL00043,2025-04-24,Protección Familiar,Agente,525.17,96631.28,56,Masculino,3652.41,No,0.0,Vencida,Antioquia
POL00044,2023-11-09,Vida Plus,Digital,1174.47,75166.08,54,Femenino,2184.48,No,0.0,Activa,Antioquia
